r E vba dba
4 -688.50419897 -1.9013 -0.0010
4.5 -688.52549956 -1.7899 -0.0027
5 -688.52834421 -1.7467 -0.0039
5.5 -688.52730304 -1.7276 -0.0047
6 -688.52607984 -1.7182 -0.0053
8 -688.52435300 -1.7073 -0.0068
10 -688.52404992 -1.7053 -0.0074
12 -688.52394332 -1.7047 -0.0075
15 -688.52391314 -1.7044 -0.0073
20 -688.52388786 -1.7043 -0.0070
30 -688.52387729 -1.7042 -0.0067
40 -688.52387389 -1.7042 -0.0065
