
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$7*1000)"

# Contour 0, label:       12
 2.54527 -1.81818  12 
 1.81818 -2.53669  12 
 0.699449 -1.81818  12 
 1.81818 -0.695426  12 
 2.54527 -1.81818  12 

 16.5082 -16.3636  12 
 16.3636 -16.4009  12 
 16.3567 -16.3636  12 
 16.3636 -16.356  12 
 16.5082 -16.3636  12 

 21.6676 -20  12 
 20 -21.4544  12 
 17.2816 -20  12 
 20 -16.6466  12 
 21.6676 -20  12 


# Contour 1, label:        9
 46.437 -41.8182  9 
 45.4545 -44.1864  9 
 42.9252 -45.4545  9 
 41.8182 -45.6478  9 
 41.0604 -45.4545  9 
 38.1818 -44.714  9 
 34.5455 -42.6288  9 
 33.4741 -41.8182  9 
 30.9091 -39.8283  9 
 28.6919 -38.1818  9 
 27.2727 -37.3196  9 
 23.6364 -35.3162  9 
 22.1648 -34.5455  9 
 20 -33.5814  9 
 16.3636 -31.7438  9 
 15.0707 -30.9091  9 
 12.7273 -29.3154  9 
 10.3751 -27.2727  9 
 9.09091 -25.9917  9 
 6.99901 -23.6364  9 
 5.45455 -21.7479  9 
 4.01982 -20  9 
 1.81818 -17.6116  9 
 0.490278 -16.3636  9 
-1.81818 -14.376  9 
-3.74842 -12.7273  9 
-5.45455 -11.2063  9 
-7.52783 -9.09091  9 
-9.09091 -7.21272  9 
-10.3955 -5.45455  9 
-12.5613 -1.81818  9 
-12.7273 -1.46339  9 
-14.3501  1.81818  9 
-16.2458  5.45455  9 
-16.3636  5.6986  9 
-18.2961  9.09091  9 
-20  11.9025  9 
-20.4852  12.7273  9 
-21.8178  16.3636  9 
-21.392  20  9 
-20  21.0744  9 
-16.3636  20.9014  9 
-13.9551  20  9 
-12.7273  19.4162  9 
-9.09091  17.5464  9 
-6.64083  16.3636  9 
-5.45455  15.8352  9 
-1.81818  14.1574  9 
 1.17781  12.7273  9 
 1.81818  12.4306  9 
 5.45455  10.275  9 
 7.08283  9.09091  9 
 9.09091  7.44469  9 
 11.1932  5.45455  9 
 12.7273  3.78292  9 
 14.4851  1.81818  9 
 16.3636 -0.282503  9 
 17.8984 -1.81818  9 
 20 -3.65252  9 
 22.3873 -5.45455  9 
 23.6364 -6.40634  9 
 26.8901 -9.09091  9 
 27.2727 -9.45325  9 
 30.2567 -12.7273  9 
 30.9091 -13.6637  9 
 32.6861 -16.3636  9 
 34.5455 -19.9673  9 
 34.5635 -20  9 
 36.39 -23.6364  9 
 38.1818 -26.7125  9 
 38.6016 -27.2727  9 
 41.3141 -30.9091  9 
 41.8182 -31.5838  9 
 43.967 -34.5455  9 
 45.4545 -37.2702  9 
 45.91 -38.1818  9 
 46.437 -41.8182  9 

 92.8159 -147.273  9 
 92.7273 -147.472  9 
 91.3453 -150.909  9 
 89.0909 -154.369  9 
 88.9854 -154.545  9 
 85.4545 -158.181  9 
 81.8182 -160.309  9 
 78.1818 -161.314  9 
 74.5455 -160.898  9 
 70.9091 -159.61  9 
 68.13 -158.182  9 
 67.2727 -157.426  9 
 64.588 -154.545  9 
 63.6364 -152.308  9 
 63.1417 -150.909  9 
 63.0002 -147.273  9 
 63.5628 -143.636  9 
 63.6364 -143.232  9 
 64.5273 -140  9 
 65.1979 -136.364  9 
 65.7476 -132.727  9 
 67.2727 -129.247  9 
 70.9091 -130.488  9 
 74.5455 -132.474  9 
 75.0287 -132.727  9 
 78.1818 -134.519  9 
 81.8182 -135.883  9 
 84.4899 -136.364  9 
 85.4545 -136.552  9 
 89.0909 -137.607  9 
 91.9163 -140  9 
 92.7273 -141.882  9 
 93.1124 -143.636  9 
 92.8159 -147.273  9 


# Contour 2, label:        6
 82.8555  180  6 
 81.8182  179.716  6 
 78.1818  179.086  6 
 74.5455  178.83  6 
 70.9091  178.884  6 
 67.2727  179.216  6 
 63.6364  179.809  6 
 62.8369  180  6 

 55.3327 -92.7273  6 
 52.7273 -95.5025  6 
 52.0654 -96.3636  6 
 49.0909 -99.975  6 
 49.0734 -100  6 
 46.6253 -103.636  6 
 45.4545 -105.612  6 
 44.6168 -107.273  6 
 43.0168 -110.909  6 
 41.8182 -114.107  6 
 41.6654 -114.545  6 
 40.5348 -118.182  6 
 39.4463 -121.818  6 
 38.3771 -125.455  6 
 38.1818 -126.184  6 
 37.4248 -129.091  6 
 36.5878 -132.727  6 
 35.8402 -136.364  6 
 35.1776 -140  6 
 34.6149 -143.636  6 
 34.5455 -144.233  6 
 34.2069 -147.273  6 
 34.0024 -150.909  6 
 34.1208 -154.545  6 
 34.5455 -157.129  6 
 34.7313 -158.182  6 
 36.0636 -161.818  6 
 38.1818 -165.368  6 
 38.2431 -165.455  6 
 41.4527 -169.091  6 
 41.8182 -169.455  6 
 45.4545 -172.559  6 
 45.6846 -172.727  6 
 49.0909 -175.048  6 
 51.4214 -176.364  6 
 52.7273 -177.075  6 
 56.3636 -178.696  6 
 60 -180  6 

 41.8182 -14.1661  6 
 40.7762 -12.7273  6 
 38.1818 -9.57353  6 
 37.8004 -9.09091  6 
 34.5455 -5.63096  6 
 34.371 -5.45455  6 
 30.9091 -2.36626  6 
 30.2431 -1.81818  6 
 27.2727  0.546343  6 
 25.6441  1.81818  6 
 23.6364  3.48438  6 
 21.5196  5.45455  6 
 20  6.87861  6 
 17.8016  9.09091  6 
 16.3636  10.4146  6 
 13.7837  12.7273  6 
 12.7273  13.5879  6 
 9.09091  16.3083  6 
 9.00855  16.3636  6 
 5.45455  18.6884  6 
 3.26615  20  6 
 1.81818  20.9097  6 
-1.81818  23.2429  6 
-2.41932  23.6364  6 
-5.45455  25.6508  6 
-8.03201  27.2727  6 
-9.09091  27.927  6 
-12.7273  29.8444  6 
-15.3367  30.9091  6 
-16.3636  31.3282  6 
-20  32.3447  6 
-23.6364  32.9846  6 
