
# Surface 0 of 1 surfaces

# Curve title: "filename using 1:2:8"

# Contour 0, label:      3.3
 86.1278 -161.91  3.3 
 85.9296 -162.298  3.3 
 85.1282 -163.719  3.3 
 84.1206 -164.925  3.3 
 83.518 -165.528  3.3 
 82.3116 -166.466  3.3 
 80.8693 -167.337  3.3 
 80.5025 -167.524  3.3 
 78.6935 -168.158  3.3 
 76.8844 -168.507  3.3 
 75.0754 -168.568  3.3 
 73.2663 -168.345  3.3 
 71.4573 -167.853  3.3 
 70.1805 -167.337  3.3 
 69.6482 -167.055  3.3 
 67.8392 -165.84  3.3 
 67.4437 -165.528  3.3 
 66.0302 -163.905  3.3 
 65.8838 -163.719  3.3 
 65.1278 -161.91  3.3 
 65.0642 -160.101  3.3 
 65.718 -158.291  3.3 
 66.0302 -157.874  3.3 
 67.1944 -156.482  3.3 
 67.8392 -155.968  3.3 
 69.6482 -154.729  3.3 
 69.7474 -154.673  3.3 
 71.4573 -153.94  3.3 
 73.2663 -153.36  3.3 
 75.0754 -152.987  3.3 
 76.4599 -152.864  3.3 
 76.8844 -152.833  3.3 
 77.9389 -152.864  3.3 
 78.6935 -152.891  3.3 
 80.5025 -153.199  3.3 
 82.3116 -153.798  3.3 
 83.9742 -154.673  3.3 
 84.1206 -154.783  3.3 
 85.735 -156.482  3.3 
 85.9296 -156.884  3.3 
 86.4739 -158.291  3.3 
 86.5645 -160.101  3.3 
 86.1278 -161.91  3.3 


# Contour 1, label:        3
 99.9318  180  3 
 98.593  179.133  3 
 97.0968  178.191  3 
 96.7839  178  3 
 94.9749  176.939  3 
 93.9842  176.382  3 
 93.1658  175.934  3 
 91.3568  174.996  3 
 90.4877  174.573  3 
 89.5477  174.127  3 
 87.7387  173.334  3 
 86.3055  172.764  3 
 85.9296  172.618  3 
 84.1206  172  3 
 82.3116  171.471  3 
 80.5025  171.039  3 
 80.0365  170.955  3 
 78.6935  170.717  3 
 76.8844  170.496  3 
 75.0754  170.373  3 
 73.2663  170.341  3 
 71.4573  170.393  3 
 69.6482  170.519  3 
 67.8392  170.71  3 
 66.0431  170.955  3 
 66.0302  170.957  3 
 64.2211  171.261  3 
 62.4121  171.605  3 
 60.603  171.983  3 
 58.794  172.389  3 
 57.2208  172.764  3 
 56.9849  172.822  3 
 55.1759  173.292  3 
 53.3668  173.785  3 
 51.5578  174.302  3 
 50.6549  174.573  3 
 49.7487  174.854  3 
 47.9397  175.444  3 
 46.1307  176.062  3 
 45.2449  176.382  3 
 44.3216  176.728  3 
 42.5126  177.447  3 
 40.7601  178.191  3 
 40.7035  178.216  3 
 38.8945  179.1  3 
 37.2083  180  3 

 40.7035 -141.506  3 
 40.2192 -142.01  3 
 38.8945 -143.39  3 
 38.4924 -143.819  3 
 37.0854 -145.347  3 
 36.8332 -145.628  3 
 35.2764 -147.417  3 
 35.2595 -147.437  3 
 33.7943 -149.246  3 
 33.4673 -149.678  3 
 32.4407 -151.055  3 
 31.6583 -152.209  3 
 31.215 -152.864  3 
 30.1427 -154.673  3 
 29.8492 -155.273  3 
 29.2459 -156.482  3 
 28.5541 -158.291  3 
 28.1001 -160.101  3 
 28.0402 -160.666  3 
 27.9039 -161.91  3 
 27.9777 -163.719  3 
 28.0402 -164.061  3 
 28.3088 -165.528  3 
 28.8777 -167.337  3 
 29.6607 -169.146  3 
 29.8492 -169.503  3 
 30.6281 -170.955  3 
 31.6583 -172.614  3 
 31.7542 -172.764  3 
 33.0244 -174.573  3 
 33.4673 -175.161  3 
 34.4285 -176.382  3 
 35.2764 -177.405  3 
 35.9654 -178.191  3 
 37.0854 -179.424  3 
 37.641 -180  3 

 98.6917 -180  3 
 100.402 -178.56  3 
 100.845 -178.191  3 
 102.211 -177.042  3 
 102.989 -176.382  3 
 104.02 -175.487  3 
 105.056 -174.573  3 
 105.829 -173.872  3 
 107.027 -172.764  3 
 107.638 -172.179  3 
 108.891 -170.955  3 
 109.447 -170.389  3 
 110.642 -169.146  3 
 111.256 -168.475  3 
 112.272 -167.337  3 
 113.065 -166.396  3 
 113.774 -165.528  3 
 114.874 -164.078  3 
 115.136 -163.719  3 
 116.315 -161.91  3 
 116.683 -161.237  3 
 117.269 -160.101  3 
 117.952 -158.291  3 
 118.393 -156.482  3 
 118.492 -155.781  3 
 118.635 -154.673  3 
 118.741 -152.864  3 
 118.744 -151.055  3 
 118.66 -149.246  3 
 118.504 -147.437  3 
 118.492 -147.337  3 
 118.271 -145.628  3 
 117.985 -143.819  3 
 117.66 -142.01  3 
 117.309 -140.201  3 
 116.938 -138.392  3 
 116.683 -137.206  3 
 116.531 -136.583  3 
 116.067 -134.774  3 
 115.559 -132.965  3 
 114.987 -131.156  3 
 114.874 -130.834  3 
 114.254 -129.347  3 
 113.346 -127.538  3 
 113.065 -127.068  3 
 112.065 -125.729  3 
 111.256 -124.849  3 
 110.153 -123.92  3 
 109.447 -123.426  3 
 107.638 -122.459  3 
 106.771 -122.111  3 
 105.829 -121.786  3 
 104.02 -121.325  3 
 102.211 -121.013  3 
 100.402 -120.844  3 
 98.593 -120.843  3 
 96.7839 -120.953  3 
 94.9749 -121.116  3 
 93.1658 -121.303  3 
 91.3568 -121.498  3 
 89.5477 -121.69  3 
 87.7387 -121.87  3 
 85.9296 -122.033  3 
 84.9354 -122.111  3 
 84.1206 -122.176  3 
 82.3116 -122.292  3 
 80.5025 -122.372  3 
 78.6935 -122.411  3 
 76.8844 -122.419  3 
 75.0754 -122.411  3 
 73.2663 -122.404  3 
 71.4573 -122.413  3 
 69.6482 -122.457  3 
 67.8392 -122.555  3 
 66.0302 -122.733  3 
 64.2211 -123.027  3 
 62.4121 -123.486  3 
 61.2599 -123.92  3 
 60.603 -124.189  3 
 58.794 -125.184  3 
 57.977 -125.729  3 
 56.9849 -126.411  3 
 55.5266 -127.538  3 
 55.1759 -127.812  3 
 53.3668 -129.337  3 
 53.3564 -129.347  3 
 51.5578 -130.951  3 
 51.3373 -131.156  3 
 49.7487 -132.615  3 
 49.3811 -132.965  3 
 47.9397 -134.317  3 
 47.4691 -134.774  3 
 46.1307 -136.056  3 
 45.5984 -136.583  3 
 44.3216 -137.834  3 
 43.7707 -138.392  3 
 42.5126 -139.654  3 
 41.983 -140.201  3 
 40.7035 -141.506  3 


# Contour 2, label:      2.5
 33.5873 -22.6131  2.5 
 34.0772 -24.4221  2.5 
 34.4403 -26.2312  2.5 
 34.5855 -28.0402  2.5 
 34.142 -29.8492  2.5 

 34.142 -29.8492  2.5 
 33.4673 -30.4765  2.5 
 31.6583 -30.9185  2.5 
 29.8492 -30.8599  2.5 
 28.0402 -30.6264  2.5 
 26.2312 -30.2992  2.5 
 24.4221 -29.8989  2.5 
 24.2526 -29.8492  2.5 
 22.6131 -29.3962  2.5 
 20.804 -28.8058  2.5 
 18.995 -28.1039  2.5 
 18.8626 -28.0402  2.5 
 17.1859 -27.2175  2.5 
 15.4889 -26.2312  2.5 
 15.3769 -26.1615  2.5 
 13.5678 -24.85  2.5 
 13.0343 -24.4221  2.5 
 11.7588 -23.2984  2.5 
 11.0199 -22.6131  2.5 
 9.94975 -21.5329  2.5 
 9.23414 -20.804  2.5 
 8.1407 -19.6349  2.5 
 7.52871 -18.995  2.5 
 6.33166 -17.7421  2.5 
 5.77366 -17.1859  2.5 
 4.52261 -15.9829  2.5 
 3.84691 -15.3769  2.5 
 2.71357 -14.4023  2.5 
 1.67844 -13.5678  2.5 
 0.904523 -12.9592  2.5 
-0.657656 -11.7588  2.5 
-0.904523 -11.5694  2.5 
-2.71357 -10.1248  2.5 
-2.92034 -9.94975  2.5 
-4.52261 -8.52995  2.5 
-4.9306 -8.1407  2.5 
-6.33166 -6.68967  2.5 
-6.65412 -6.33166  2.5 
-8.10298 -4.52261  2.5 
-8.1407 -4.46726  2.5 
-9.29648 -2.71357  2.5 
-9.94975 -1.55324  2.5 
-10.3159 -0.904523  2.5 
-11.1813  0.904523  2.5 
-11.7588  2.28197  2.5 
-11.9497  2.71357  2.5 
-12.6189  4.52261  2.5 
-13.2291  6.33166  2.5 
-13.5678  7.5775  2.5 
-13.7401  8.1407  2.5 
-14.033  9.94975  2.5 
-13.8353  11.7588  2.5 
-13.5678  12.1334  2.5 
