i dih1 dih2 Mu(D) Ene(Eh) VBA(eV) DBA(eV)
102 20 -160 -648.15468017 0.9598 -1.6664 0.0077
103 20 -140 -648.15641489 1.1134 -1.6089 0.0064
104 20 -120 -648.15643317 1.2899 -1.5615 0.0052
105 20 -100 -648.15433946 1.5220 -1.5297 0.0034
106 20 -80 -648.15153736 1.8497 -1.5176 0.0006
107 20 -60 -648.14915576 2.1261 -1.5528 -0.0014
108 20 -40 -648.14670866 2.3697 -1.6060 -0.0031
109 20 -20 -648.14597926 2.5155 -1.6504 -0.0034
110 20 0 -648.15129437 2.5646 -1.7121 -0.0022
111 40 -180 -648.15436798 2.6733 -1.7405 -0.0020
112 40 -160 -648.15554492 2.6005 -1.7153 -0.0005
113 40 -140 -648.15588742 2.4631 -1.6866 0.0018
114 40 -120 -648.15571272 2.1092 -1.6723 0.0050
115 40 -100 -648.15550429 2.0574 -1.6262 0.0051
116 40 -80 -648.15611100 1.6593 -1.6346 0.0073
117 40 -60 -648.15628232 1.1513 -1.6598 0.0088
118 40 -40 -648.15591993 0.6071 -1.6863 0.0095
119 40 -20 -648.15519966 0.2699 -1.6869 0.0095
120 40 0 -648.15460406 0.6272 -1.6709 0.0083
121 60 -180 -648.15502611 0.9448 -1.6317 0.0067
122 60 -160 -648.15524622 1.0411 -1.5919 0.0057
123 60 -140 -648.15327558 1.1918 -1.5480 0.0044
124 60 -120 -648.14884756 1.6170 -1.4751 0.0000
125 60 -100 -648.14533740 1.9030 -1.4561 -0.0030
126 60 -80 -648.14206776 2.1516 -1.4690 -0.0053
127 60 -60 -648.14090055 2.3744 -1.5010 -0.0067
128 60 -40 -648.14651729 2.3643 -1.6073 -0.0037
129 60 -20 -648.15298592 2.4067 -1.6665 -0.0021
130 60 0 -648.15570307 2.5156 -1.6920 -0.0016
131 80 -180 -648.15615915 2.4780 -1.6657 -0.0000
132 80 -160 -648.15596747 2.3670 -1.6376 0.0021
133 80 -140 -648.15548861 2.0506 -1.6236 0.0051
134 80 -120 -648.15599002 1.8986 -1.5668 0.0054
135 80 -100 -648.15675812 1.5920 -1.5773 0.0070
136 80 -80 -648.15735409 1.1499 -1.6034 0.0083
137 80 -60 -648.15744301 0.7452 -1.6281 0.0086
138 80 -40 -648.15697133 0.5886 -1.6282 0.0084
139 80 -20 -648.15622814 0.8377 -1.6163 0.0072
140 80 0 -648.15520107 1.0525 -1.5963 0.0058
141 100 -180 -648.15203546 1.1757 -1.5560 0.0045
142 100 -160 -648.14699051 1.3634 -1.4941 0.0022
143 100 -140 -648.14114583 1.6096 -1.4421 -0.0005
144 100 -120 -648.13946270 2.1289 -1.3693 -0.0079
145 100 -100 -648.13735797 2.3627 -1.3649 -0.0101
146 100 -80 -648.14189079 2.2701 -1.4710 -0.0061
147 100 -60 -648.14879846 2.1338 -1.5556 -0.0022
148 100 -40 -648.15524497 2.1061 -1.6050 -0.0000
149 100 -20 -648.15798450 2.2239 -1.6299 0.0003
150 100 0 -648.15807067 2.2203 -1.6080 0.0014
151 120 -180 -648.15705554 2.1677 -1.5827 0.0030
152 120 -160 -648.15600502 1.8944 -1.5672 0.0055
153 120 -140 -648.15519578 1.7019 -1.5165 0.0060
154 120 -120 -648.15635992 1.5500 -1.5252 0.0067
155 120 -100 -648.15764814 1.2677 -1.5523 0.0073
156 120 -80 -648.15820532 1.0775 -1.5764 0.0073
157 120 -60 -648.15788227 1.0163 -1.5773 0.0069
158 120 -40 -648.15611475 1.1361 -1.5674 0.0058
159 120 -20 -648.15298608 1.3323 -1.5497 0.0041
160 120 0 -648.14803668 1.6795 -1.4630 -0.0007
161 140 -180 -648.14349031 1.8944 -1.3963 -0.0047
162 140 -160 -648.13829294 2.2159 -1.3227 -0.0103
163 140 -140 -648.13535933 2.4721 -1.2879 -0.0140
164 140 -120 -648.13931047 2.2938 -1.3719 -0.0087
165 140 -100 -648.14501716 2.0734 -1.4578 -0.0039
166 140 -80 -648.15119479 1.8771 -1.5236 0.0002
167 140 -60 -648.15662837 1.7765 -1.5626 0.0024
168 140 -40 -648.15882309 1.8769 -1.5811 0.0028
169 140 -20 -648.15828850 1.9062 -1.5576 0.0035
170 140 0 -648.15663346 1.8931 -1.5326 0.0045
171 160 -180 -648.15520091 1.7023 -1.5160 0.0060
