
# Surface 0 of 1 surfaces

# Curve title: "filename using 1:2:5"

# Contour 0, label:     3.15
  96.3636  3.15 
  95.5855  3.15 
  96.3636  3.15 
  98.3842  3.15 
  100  3.15 
  100.771  3.15 
  101.006  3.15 
  100  3.15 
  96.3636  3.15 

  118.182  3.15 
  115.466  3.15 
  118.182  3.15 
  121.673  3.15 
  118.182  3.15 

 -138.207  3.15 
 -138.681  3.15 
 -139.084  3.15 
 -139.423  3.15 
 -139.691  3.15 

  39.347  3.15 
  38.1818  3.15 
  35.5244  3.15 
  34.5455  3.15 
  30.9091  3.15 
  29.2467  3.15 
  27.2727  3.15 
  25.2924  3.15 
  23.6364  3.15 
  22.7427  3.15 
  20  3.15 
  19.7607  3.15 
  16.3636  3.15 
  15.4988  3.15 
  12.7273  3.15 
  9.09091  3.15 
  6.93432  3.15 
  5.45455  3.15 
  1.81818  3.15 
  0.937585  3.15 
 -1.44185  3.15 
 -1.81818  3.15 
 -3.9577  3.15 
 -5.45455  3.15 
 -7.90839  3.15 
 -9.09091  3.15 
 -12.7273  3.15 
 -16.3636  3.15 
 -19.4865  3.15 
 -20  3.15 
 -22.9013  3.15 
 -23.6364  3.15 
 -24.5815  3.15 
 -26.4955  3.15 
 -27.2727  3.15 
 -29.8241  3.15 
 -30.9091  3.15 
 -34.5455  3.15 
 -38.1818  3.15 
 -41.8182  3.15 
 -41.8355  3.15 
 -45.2723  3.15 
 -45.4545  3.15 
 -46.6134  3.15 
 -47.9133  3.15 
 -49.0909  3.15 
 -50.5272  3.15 
 -52.7273  3.15 
 -56.3636  3.15 
 -60  3.15 
 -61.0921  3.15 
 -63.6364  3.15 
 -65.5255  3.15 
 -66.8817  3.15 
 -67.2727  3.15 
 -67.8719  3.15 
 -69.8235  3.15 
 -70.9091  3.15 
 -74.5455  3.15 
 -76.4462  3.15 
 -78.1818  3.15 
 -81.8182  3.15 
 -84.366  3.15 
 -85.4545  3.15 
 -86.4894  3.15 
 -87.337  3.15 
 -88.7515  3.15 
 -89.0909  3.15 
 -91.9999  3.15 
 -92.7273  3.15 
 -96.3636  3.15 
 -100  3.15 
 -101.39  3.15 
 -103.636  3.15 
 -104.974  3.15 
 -106.403  3.15 
 -107.273  3.15 
 -107.593  3.15 
 -109.677  3.15 
 -110.909  3.15 
 -114.545  3.15 
 -114.648  3.15 
 -118.182  3.15 
 -121.305  3.15 
 -121.818  3.15 
