
# Surface 0 of 1 surfaces

# Curve title: "filename using 1:2:(($4 - Z_min)*Eh2meV)"

# Contour 0, label:      565
 46.8908 -6.26344  400 
 47.7768 -7.56303  400 
 49.7146 -10.5882  400 
 49.916 -10.9191  400 
 51.484 -13.6134  400 
 52.9412 -16.2287  400 
 53.1596 -16.6387  400 
 54.7508 -19.6639  400 
 55.9664 -21.9413  400 
 56.357 -22.6891  400 
 57.9652 -25.7143  400 
 58.9916 -27.6548  400 
 59.5553 -28.7395  400 
 61.0715 -31.7647  400 
 62.0168 -33.7173  400 
 62.5212 -34.7899  400 
 63.8863 -37.8151  400 
 65.042 -40.4196  400 
 65.222 -40.8403  400 
 66.4663 -43.8655  400 
 67.6935 -46.8908  400 
 68.0672 -47.8615  400 
 68.8257 -49.916  400 
 69.8644 -52.9412  400 
 70.813 -55.9664  400 
 71.0924 -57.0423  400 
 71.5965 -58.9916  400 
 72.2218 -62.0168  400 
 72.6762 -65.042  400 
 72.8131 -68.0672  400 
 72.117 -71.0924  400 

 72.117 -71.0924  400 
 71.0924 -72.2714  400 
 68.0672 -73.3574  400 
 65.042 -73.4045  400 
 62.0168 -73.0828  400 
 58.9916 -72.5729  400 
 55.9664 -71.9215  400 
 52.9412 -71.1399  400 
 52.7873 -71.0924  400 
 49.916 -70.173  400 
 46.8908 -69.119  400 
 44.0521 -68.0672  400 
 43.8655 -67.9949  400 
 40.8403 -66.7436  400 
 37.8151 -65.4621  400 
 36.8664 -65.042  400 
 34.7899 -64.0922  400 
 31.7647 -62.6604  400 
 30.4647 -62.0168  400 
 28.7395 -61.1411  400 
 25.7143 -59.5524  400 
 24.6731 -58.9916  400 
 22.6891 -57.9127  400 
 19.6639 -56.2973  400 
 19.0303 -55.9664  400 
 16.6387 -54.6721  400 
 13.6134 -52.9973  400 
 13.516 -52.9412  400 
 10.5882 -51.1696  400 
 8.65156 -49.916  400 
 7.56303 -49.1776  400 
 4.53782 -46.9763  400 
 4.42702 -46.8908  400 
 1.51261 -44.5686  400 
 0.661053 -43.8655  400 
-1.51261 -42.0518  400 
-2.95962 -40.8403  400 
-4.53782 -39.5268  400 
-6.5487 -37.8151  400 
-7.56303 -36.9334  400 
-9.96596 -34.7899  400 
-10.5882 -34.2118  400 
-13.1823 -31.7647  400 
-13.6134 -31.3389  400 
-16.2788 -28.7395  400 
-16.6387 -28.377  400 
-19.4756 -25.7143  400 
-19.6639 -25.5387  400 
-22.6891 -23.1797  400 
-23.4645 -22.6891  400 
-25.7143 -21.4237  400 
-28.7395 -19.9428  400 
-29.3047 -19.6639  400 
-31.7647 -18.532  400 
-34.7899 -16.9926  400 
-35.359 -16.6387  400 
-37.8151 -15.1479  400 
-39.7845 -13.6134  400 
-40.8403 -12.8006  400 
-43.0795 -10.5882  400 
-43.8655 -9.77762  400 
-45.5872 -7.56303  400 
-46.8908 -5.61858  400 
-47.5164 -4.53782  400 
-48.9333 -1.51261  400 
-49.916  1.22711  400 
-50.0169  1.51261  400 
-50.864  4.53782  400 
-51.5978  7.56303  400 
-52.3039  10.5882  400 
-52.9412  13.1409  400 
-53.0661  13.6134  400 
-53.9427  16.6387  400 
-55.0214  19.6639  400 
-55.9664  21.8482  400 
-56.3327  22.6891  400 
-57.8044  25.7143  400 
-58.9916  27.9855  400 
-59.3784  28.7395  400 
-60.9348  31.7647  400 
-62.0168  33.8853  400 
-62.4619  34.7899  400 
-63.9066  37.8151  400 
-65.042  40.2325  400 
-65.3156  40.8403  400 
-66.6295  43.8655  400 
-67.9259  46.8908  400 
-68.0672  47.2418  400 
-69.0978  49.916  400 
-70.1902  52.9412  400 
-71.0924  55.7021  400 
-71.177  55.9664  400 
-71.9584  58.9916  400 
-72.5827  62.0168  400 
-73.0039  65.042  400 
-73.0708  68.0672  400 
-72.261  71.0924  400 
-71.0924  72.3548  400 
-68.0672  73.3553  400 


# Contour 3, label:      300
 52.9412  7.88672  300 
 53.1879  7.56303  300 
 55.481  4.53782  300 
 55.9664  3.8803  300 
 57.6646  1.51261  300 
 58.9916 -0.49177  300 
 59.6237 -1.51261  300 
 61.3168 -4.53782  300 
 62.0168 -5.86929  300 
 62.8765 -7.56303  300 
 64.363 -10.5882  300 
 65.042 -11.9932  300 
 65.815 -13.6134  300 
 67.2624 -16.6387  300 
 68.0672 -18.299  300 
 68.7144 -19.6639  300 
 70.1449 -22.6891  300 
 71.0924 -24.7327  300 
 71.5302 -25.7143  300 
 72.8481 -28.7395  300 
 74.1176 -31.7447  300 
 74.1258 -31.7647  300 
 75.3528 -34.7899  300 
 76.572 -37.8151  300 
 77.1429 -39.2122  300 
 77.7979 -40.8403  300 
 79.0493 -43.8655  300 
 80.1681 -46.5154  300 
 80.3274 -46.8908  300 
 81.6172 -49.916  300 
 82.9337 -52.9412  300 
 83.1933 -53.5324  300 
 84.2903 -55.9664  300 
 85.7159 -58.9916  300 
 86.2185 -60.0245  300 
 87.1952 -62.0168  300 
 88.6611 -65.042  300 
 89.2437 -66.3441  300 
 90.015 -68.0672  300 
 91.1349 -71.0924  300 
 91.9122 -74.1176  300 
 92.2416 -77.1429  300 
 92.0277 -80.1681  300 
 91.1506 -83.1933  300 
 89.4361 -86.2185  300 

-75.3129  34.7899  300 
-76.5453  37.8151  300 
-77.1429  39.2567  300 
-77.7871  40.8403  300 
-79.0616  43.8655  300 
-80.1681  46.4423  300 
-80.3605  46.8908  300 
-81.6574  49.916  300 
-82.9634  52.9412  300 
-83.1933  53.4751  300 
-84.2773  55.9664  300 
-85.6231  58.9916  300 
-86.2185  60.3067  300 
