r E vba dba
4 -704.56019701 -1.4482 -0.0431
4.5 -704.56527961 -1.4655 -0.0411
5 -704.56531740 -1.4929 -0.0369
5.5 -704.56442589 -1.5211 -0.0322
6 -704.56362950 -1.5466 -0.0277
8 -704.56247042 -1.6142 -0.0155
10 -704.56215939 -1.6475 -0.0092
12 -704.56205368 -1.6656 -0.0054
15 -704.56198742 -1.6801 -0.0019
20 -704.56194044 -1.6910 0.0008
30 -704.56190319 -1.6985 0.0003
40 -704.56189668 -1.7011 -0.0020
