r E vba dba
4 -704.54825977 -1.9843 -0.0035
4.5 -704.56175042 -1.9109 -0.0089
5 -704.56453299 -1.8643 -0.0149
5.5 -704.56423113 -1.8334 -0.0208
6 -704.56349107 -1.8119 -0.0260
8 -704.56214486 -1.7667 -0.0371
10 -704.56193332 -1.7458 -0.0375
12 -704.56189619 -1.7339 -0.0344
15 -704.56189546 -1.7237 -0.0289
20 -704.56190049 -1.7155 -0.0220
30 -704.56189062 -1.7093 -0.0144
40 -704.56189058 -1.7071 -0.0108
