
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$6)"

# Contour 0, label:      1.3
 21.0391 -20  1.3 
 20 -21.5443  1.3 
 16.3636 -22.7119  1.3 
 12.7273 -21.9717  1.3 
 9.09091 -20.5431  1.3 
 8.02491 -20  1.3 
 5.45455 -18.6499  1.3 
 1.81818 -16.7587  1.3 
 1.10369 -16.3636  1.3 
-1.81818 -14.8086  1.3 
-5.30816 -12.7273  1.3 
-5.45455 -12.6375  1.3 
-9.09091 -9.86367  1.3 
-9.96875 -9.09091  1.3 
-12.7273 -6.37595  1.3 
-13.5996 -5.45455  1.3 
-16.3636 -2.16012  1.3 
-16.6511 -1.81818  1.3 
-19.6862  1.81818  1.3 
-20  2.17026  1.3 
-23.0891  5.45455  1.3 
-23.6364  6.06817  1.3 
-26.0757  9.09091  1.3 
-27.2727  10.8684  1.3 
-28.3698  12.7273  1.3 
-29.8599  16.3636  1.3 
-30.6092  20  1.3 
-30.4642  23.6364  1.3 
-28.5862  27.2727  1.3 
-27.2727  28.2574  1.3 
-23.6364  29.2498  1.3 
-20  29.1232  1.3 
-16.3636  28.2598  1.3 
-14.0026  27.2727  1.3 
-12.7273  26.6629  1.3 
-9.09091  24.3321  1.3 
-8.16994  23.6364  1.3 
-5.45455  21.3417  1.3 
-3.96532  20  1.3 
-1.81818  18.063  1.3 
 0.0726499  16.3636  1.3 
 1.81818  14.819  1.3 
 3.98576  12.7273  1.3 
 5.45455  11.2445  1.3 
 7.30141  9.09091  1.3 
 9.09091  6.71732  1.3 
 9.95093  5.45455  1.3 
 12.0104  1.81818  1.3 
 12.7273  0.327066  1.3 
 13.7792 -1.81818  1.3 
 15.5799 -5.45455  1.3 
 16.3636 -6.9771  1.3 
 17.5224 -9.09091  1.3 
 19.5086 -12.7273  1.3 
 20 -13.801  1.3 
 20.9085 -16.3636  1.3 
 21.0391 -20  1.3 


# Contour 1, label:      1.4
 38.621 -5.45455  1.4 
 40.1362 -9.09091  1.4 
 41.2674 -12.7273  1.4 
 41.8182 -15.088  1.4 
 42.1508 -16.3636  1.4 
 43.0886 -20  1.4 
 44.2384 -23.6364  1.4 
 45.2858 -27.2727  1.4 
 45.4545 -28.0623  1.4 
 46.015 -30.9091  1.4 
 46.2989 -34.5455  1.4 
 46.0091 -38.1818  1.4 

 46.0091 -38.1818  1.4 
 45.4545 -40.0003  1.4 
 44.7664 -41.8182  1.4 
 41.8182 -45.3644  1.4 
 41.6826 -45.4545  1.4 
 38.1818 -47.1898  1.4 
 34.5455 -48.0149  1.4 
 30.9091 -48.2353  1.4 
 27.2727 -48.0332  1.4 
 23.6364 -47.5347  1.4 
 20 -46.8428  1.4 
 16.3636 -46.0134  1.4 
 14.3732 -45.4545  1.4 
 12.7273 -44.9996  1.4 
 9.09091 -43.7096  1.4 
 5.45455 -42.0323  1.4 
 5.06162 -41.8182  1.4 
 1.81818 -40.1401  1.4 
-1.81818 -38.2086  1.4 
-1.86993 -38.1818  1.4 
-5.45455 -36.3604  1.4 
-8.65197 -34.5455  1.4 
-9.09091 -34.2811  1.4 
-12.7273 -31.7747  1.4 
-13.7877 -30.9091  1.4 
-16.3636 -28.6811  1.4 
-17.8269 -27.2727  1.4 
-20 -25.1916  1.4 
-21.6794 -23.6364  1.4 
-23.6364 -21.9516  1.4 
-26.1344 -20  1.4 
-27.2727 -19.1283  1.4 
-30.9091 -16.3788  1.4 
-30.9288 -16.3636  1.4 
-34.5455 -13.1304  1.4 
-34.9422 -12.7273  1.4 
-38.0467 -9.09091  1.4 
-38.1818 -8.91616  1.4 
-40.7485 -5.45455  1.4 
-41.8182 -3.96349  1.4 
-43.445 -1.81818  1.4 
-45.4545  0.803901  1.4 
-46.2665  1.81818  1.4 
-48.8897  5.45455  1.4 
-49.0909  5.78972  1.4 
-51.0579  9.09091  1.4 
-52.6874  12.7273  1.4 
-52.7273  12.8439  1.4 
-53.8962  16.3636  1.4 
-54.736  20  1.4 
-55.2619  23.6364  1.4 
-55.4499  27.2727  1.4 
-55.2701  30.9091  1.4 
-54.7308  34.5455  1.4 
-53.8648  38.1818  1.4 
-52.7273  41.5788  1.4 
-52.6401  41.8182  1.4 
-50.633  45.4545  1.4 
-49.0909  47.2152  1.4 
-46.6939  49.0909  1.4 
-45.4545  49.7969  1.4 
-41.8182  51.1459  1.4 
-38.1818  51.9112  1.4 
-34.5455  52.2918  1.4 
-30.9091  52.3394  1.4 
-27.2727  52.0563  1.4 
-23.6364  51.4545  1.4 
-20  50.5686  1.4 
-16.3636  49.4304  1.4 
-15.4602  49.0909  1.4 
-12.7273  48.0495  1.4 
-9.09091  46.3433  1.4 
-7.54581  45.4545  1.4 
-5.45455  44.2706  1.4 
-1.81818  41.8196  1.4 
 1.81818  39.41  1.4 
 3.66458  38.1818  1.4 
 5.45455  36.9769  1.4 
 8.71942  34.5455  1.4 
 9.09091  34.2398  1.4 
 12.6286  30.9091  1.4 
 12.7273  30.8045  1.4 
 15.6752  27.2727  1.4 
 16.3636  26.3838  1.4 
 18.4082  23.6364  1.4 
 20  21.5096  1.4 
 21.2841  20  1.4 
 23.6364  17.4903  1.4 
 24.7629  16.3636  1.4 
 27.2727  13.6193  1.4 
 28.0806  12.7273  1.4 
 30.838  9.09091  1.4 
 30.9091  8.98305  1.4 
 33.0943  5.45455  1.4 
 34.5455  2.79925  1.4 
 35.0531  1.81818  1.4 
 36.8841 -1.81818  1.4 
 38.1818 -4.56411  1.4 
 38.621 -5.45455  1.4 


# Contour 2, label:      1.5
-60  64.8908  1.5 
-56.3636  66.2995  1.5 
-53.0979  67.2727  1.5 
-52.7273  67.3827  1.5 
-49.0909  68.3275  1.5 
-45.4545  69.2681  1.5 
-41.8182  70.2699  1.5 
-39.6329  70.9091  1.5 
-38.1818  71.383  1.5 
-34.5455  72.5894  1.5 
-30.9091  73.7654  1.5 
-28.1541  74.5455  1.5 
-27.2727  74.8321  1.5 
-23.6364  75.7184  1.5 
-20  76.2263  1.5 
-16.3636  76.2097  1.5 
-12.7273  75.6417  1.5 
-9.16347  74.5455  1.5 
-9.09091  74.5249  1.5 
-5.45455  73.0619  1.5 
-1.81818  71.1294  1.5 
-1.48333  70.9091  1.5 
 1.81818  68.7802  1.5 
 3.56681  67.2727  1.5 
 5.45455  65.5999  1.5 
 7.19345  63.6364  1.5 
 9.09091  61.4868  1.5 
 10.2371  60  1.5 
 12.7273  57.1542  1.5 
 13.398  56.3636  1.5 
 16.3636  53.4792  1.5 
 17.1629  52.7273  1.5 
 20  50.2888  1.5 
 21.3024  49.0909  1.5 
 23.6364  46.8997  1.5 
 24.9501  45.4545  1.5 
 27.2727  42.6287  1.5 
 27.874  41.8182  1.5 
 30.506  38.1818  1.5 
 30.9091  37.6559  1.5 
 33.479  34.5455  1.5 
 34.5455  33.4261  1.5 
