r E vba dba
4 -748.41666754 -1.4643 -0.0628
4.5 -748.41820066 -1.5046 -0.0513
5 -748.41773507 -1.5347 -0.0426
5.5 -748.41713371 -1.5585 -0.0359
6 -748.41671582 -1.5778 -0.0307
8 -748.41600662 -1.6274 -0.0177
10 -748.41580581 -1.6532 -0.0108
12 -748.41573147 -1.6681 -0.0063
15 -748.41565539 -1.6806 -0.0017
20 -748.41560316 -1.6907 0.0026
30 -748.41557411 -1.6981 0.0018
40 -748.41556888 -1.7008 -0.0013
