i dih1 dih2 Mu(D) Ene(Eh) VBA(eV) DBA(eV)
165 -20 60 -842.89019760 1.6235 -1.4417 0.0006
166 -20 80 0 0 0 0
167 -20 100 -842.90132013 1.9029 -1.5535 0.0022
168 -20 120 -842.90281704 2.2445 -1.5755 0.0007
169 -20 140 -842.90201370 2.5535 -1.5561 -0.0008
170 -20 160 -842.90020650 2.7486 -1.5322 -0.0010
171 -20 180 -842.90008998 2.9279 -1.5007 -0.0011
172 0 -180 -842.89917644 2.8793 -1.4844 -0.0011
173 0 -160 -842.90168580 2.8792 -1.4980 -0.0013
174 0 -140 -842.90329279 2.6293 -1.5286 -0.0004
175 0 -120 -842.90387325 2.3139 -1.5543 0.0009
176 0 -100 -842.90238842 1.9691 -1.5516 0.0019
177 0 -80 0 0 0 0
178 0 -60 -842.89272502 1.7246 -1.4756 0.0000
179 0 -40 -842.88799063 1.8701 -1.4039 -0.0028
180 0 -20 -842.88275834 2.2188 -1.3166 -0.0078
181 0 0 -842.87938070 2.4980 -1.2591 -0.0121
182 0 20 -842.88300879 2.1298 -1.3135 -0.0067
183 0 40 -842.88864094 1.6485 -1.3977 -0.0007
184 0 60 0 0 0 0
185 0 80 0 0 0 0
186 0 100 0 0 0 0
187 0 120 -842.90258507 1.9496 -1.5557 0.0028
188 0 140 -842.90146121 2.3017 -1.5353 0.0012
189 0 160 -842.89939266 2.5826 -1.5129 0.0001
190 0 180 -842.89910876 2.8575 -1.4861 -0.0009
191 20 -180 -842.89953351 2.9675 -1.5167 -0.0022
192 20 -160 -842.90209189 3.0977 -1.5244 -0.0036
193 20 -140 -842.90369927 2.9094 -1.5525 -0.0032
194 20 -120 -842.90409721 2.6687 -1.5731 -0.0024
195 20 -100 -842.90133173 2.2720 -1.5577 -0.0009
196 20 -80 -842.89547064 1.9470 -1.5207 -0.0004
197 20 -60 -842.88922665 2.0098 -1.4577 -0.0032
198 20 -40 -842.88360268 2.2151 -1.3701 -0.0071
199 20 -20 -842.87973284 2.5322 -1.2968 -0.0122
200 20 0 -842.88298988 2.2677 -1.3325 -0.0079
