
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$7*1000)"

# Contour 0, label:       12
 74.5455 -160.941  9 
 70.9091 -159.633  9 
 68.1433 -158.182  9 
 67.2727 -157.399  9 
 64.6661 -154.545  9 
 63.6364 -152.104  9 
 63.2159 -150.909  9 
 63.0621 -147.273  9 
 63.5996 -143.636  9 
 63.6364 -143.426  9 
 64.5425 -140  9 
 65.1826 -136.364  9 
 65.7086 -132.727  9 
 67.2727 -129.179  9 
 70.9091 -130.449  9 
 74.5455 -132.438  9 
 75.0993 -132.727  9 
 78.1818 -134.479  9 
 81.8182 -135.862  9 
 84.4692 -136.364  9 
 85.4545 -136.568  9 
 89.0909 -137.684  9 
 91.7587 -140  9 
 92.7273 -142.441  9 
 92.9705 -143.636  9 


# Contour 2, label:        6
 82.7221  180  6 
 81.8182  179.757  6 
 78.1818  179.153  6 
 74.5455  178.933  6 
 70.9091  178.997  6 
 67.2727  179.304  6 
 63.6364  179.84  6 
 62.9039  180  6 

 52.7273 -95.5399  6 
 52.089 -96.3636  6 
 49.0909 -99.9851  6 
 49.0804 -100  6 
 46.6303 -103.636  6 
 45.4545 -105.625  6 
 44.6288 -107.273  6 
 43.0335 -110.909  6 
 41.8182 -114.138  6 
 41.6762 -114.545  6 
 40.5397 -118.182  6 
 39.456 -121.818  6 
 38.4013 -125.455  6 
 38.1818 -126.282  6 
 37.4574 -129.091  6 
 36.6183 -132.727  6 
 35.8609 -136.364  6 
 35.1878 -140  6 
 34.6193 -143.636  6 
 34.5455 -144.27  6 
 34.2104 -147.273  6 
 34.0081 -150.909  6 
 34.1268 -154.545  6 
 34.5455 -157.121  6 
 34.7306 -158.182  6 
 36.0444 -161.818  6 
 38.1818 -165.449  6 
 38.1855 -165.455  6 
 41.3565 -169.091  6 
 41.8182 -169.553  6 
 45.4545 -172.668  6 
 45.5361 -172.727  6 
 49.0909 -175.132  6 
 51.2853 -176.364  6 
 52.7273 -177.133  6 
 56.3636 -178.722  6 
 60 -180  6 

 41.8182 -13.8884  6 
 40.957 -12.7273  6 
 38.1818 -9.55255  6 
 37.8048 -9.09091  6 
 34.5455 -5.72104  6 
 34.2835 -5.45455  6 
 30.9091 -2.32009  6 
 30.3211 -1.81818  6 
 27.2727  0.741943  6 
 25.9115  1.81818  6 
 23.6364  3.70427  6 
 21.7061  5.45455  6 
 20  6.96104  6 
 17.7811  9.09091  6 
