1 -180 -180 -842.90034867 1.4986 -1.6225 0.0064
2 -180 -160 -842.90173520 1.8126 -1.6259 0.0052
3 -180 -140 -842.90179531 1.9761 -1.6582 0.0039
4 -180 -120 -842.90123156 2.1630 -1.6871 0.0025
5 -180 -100 -842.90028383 2.2631 -1.6897 0.0013
6 -180 -80 -842.89942464 2.2738 -1.6704 0.0012
7 -180 -60 -842.89933195 2.1348 -1.6234 0.0022
8 -180 -40 -842.89994195 1.9263 -1.5659 0.0031
9 -180 -20 -842.89913652 1.6620 -1.5147 0.0043
10 -180 0 -842.89858905 1.5239 -1.4911 0.0049
11 -180 20 -842.89947385 1.5487 -1.5070 0.0048
12 -180 40 -842.90021728 1.6401 -1.5551 0.0043
13 -180 60 -842.89972815 1.7672 -1.6127 0.0037
14 -180 80 -842.89999028 1.8051 -1.6599 0.0034
15 -180 100 -842.90032255 1.7474 -1.6861 0.0036
16 -180 120 -842.90027333 1.5806 -1.6922 0.0045
17 -180 140 -842.90046719 1.3707 -1.6637 0.0057
18 -180 160 -842.90008054 1.3015 -1.6375 0.0065
19 -180 180 -842.90033463 1.5151 -1.6166 0.0064

20 -160 -180 -842.90103668 1.6034 -1.6314 0.0062
21 -160 -160 -842.90236906 1.5797 -1.6444 0.0063
22 -160 -140 -842.90234976 1.5149 -1.6726 0.0062
23 -160 -120 -842.90172270 1.5694 -1.6984 0.0058
24 -160 -100 -842.90064484 1.6360 -1.6974 0.0053
25 -160 -80 -842.89990350 1.6891 -1.6795 0.0051
26 -160 -60 -842.90006671 1.6205 -1.6310 0.0053
27 -160 -40 -842.90082799 1.4800 -1.5727 0.0056
28 -160 -20 -842.90049002 1.3511 -1.5206 0.0059
29 -160 0 -842.90016753 1.4027 -1.5014 0.0054
30 -160 20 -842.90082771 1.5965 -1.5269 0.0043
31 -160 40 -842.90117020 1.8300 -1.5728 0.0028
32 -160 60 -842.90017004 2.0487 -1.6265 0.0015
33 -160 80 -842.90024238 2.1823 -1.6747 0.0006
34 -160 100 -842.90058752 2.2340 -1.7032 0.0003
35 -160 120 -842.90045782 2.1431 -1.7086 0.0013
36 -160 140 -842.90074118 1.9696 -1.6798 0.0029
37 -160 160 -842.90051181 1.7435 -1.6520 0.0049
38 -160 180 -842.90102275 1.6105 -1.6323 0.0062

39 -140 -180 -842.90140648 2.0233 -1.6524 0.0043
40 -140 -160 -842.90266410 1.8514 -1.6645 0.0051
41 -140 -140 -842.90267657 1.5564 -1.6926 0.0059
42 -140 -120 -842.90203617 1.3495 -1.7175 0.0064
43 -140 -100 -842.90099009 1.2141 -1.7162 0.0067
44 -140 -80 -842.90026798 1.1607 -1.6992 0.0070
45 -140 -60 -842.90054481 1.0819 -1.6550 0.0072
46 -140 -40 -842.90174781 0.9725 -1.5966 0.0072
47 -140 -20 -842.90207994 0.9909 -1.5445 0.0069
48 -140 0 -842.90214724 1.2252 -1.5252 0.0058
49 -140 20 -842.90276968 1.5490 -1.5466 0.0040
50 -140 40 -842.90244182 1.8432 -1.5922 0.0022
51 -140 60 -842.90057811 2.0935 -1.6472 0.0006
52 -140 80 -842.90057811 2.0935 -1.6472 0.0006 # changed
53 -140 100 -842.90046149 2.4615 -1.7292 -0.0018
54 -140 120 -842.90046355 2.4764 -1.7344 -0.0014
55 -140 140 -842.90090231 2.3931 -1.7048 -0.0001
56 -140 160 -842.90080584 2.2352 -1.6770 0.0022
57 -140 180 -842.90139532 2.0326 -1.6550 0.0043

58 -120 -180 -842.90115255 2.5195 -1.6776 0.0015
59 -120 -160 -842.90244099 2.2729 -1.6865 0.0030
60 -120 -140 -842.90240074 1.8383 -1.7159 0.0048
61 -120 -120 -842.90177879 1.3828 -1.7410 0.0063
62 -120 -100 -842.90071136 0.9506 -1.7408 0.0074
63 -120 -80 -842.90001933 0.6492 -1.7230 0.0080
64 -120 -60 -842.90038895 0.4881 -1.6753 0.0083
65 -120 -40 -842.90205564 0.4558 -1.6158 0.0081
66 -120 -20 -842.90290616 0.7306 -1.5631 0.0074
67 -120 0 -842.90314301 1.1220 -1.5455 0.0059
68 -120 20 -842.90341618 1.4895 -1.5636 0.0040
69 -120 40 -842.90258741 1.8156 -1.6078 0.0020
70 -120 60 -842.90025032 2.0897 -1.6626 0.0003
71 -120 80 -842.89913938 2.3417 -1.7127 -0.0011
72 -120 100 -842.89954242 2.6082 -1.7487 -0.0029
73 -120 120 -842.89978653 2.7486 -1.7586 -0.0036
74 -120 140 -842.90039480 2.7569 -1.7291 -0.0028
75 -120 160 -842.90050107 2.6896 -1.7015 -0.0009
76 -120 180 -842.90111906 2.5205 -1.6791 0.0015

77 -100 -180 -842.90076493 2.8469 -1.6744 -0.0007
78 -100 -160 -842.90209838 2.6076 -1.6789 0.0011
79 -100 -140 -842.90216039 2.1404 -1.7066 0.0034
80 -100 -120 -842.90156351 1.6073 -1.7334 0.0055
81 -100 -100 -842.90050483 1.0434 -1.7357 0.0071
82 -100 -80 -842.89959074 0.5262 -1.7182 0.0082
83 -100 -60 -842.89985518 0.1280 -1.6725 0.0085
84 -100 -40 -842.90180372 0.2789 -1.6123 0.0081
85 -100 -20 -842.90277081 0.6823 -1.5597 0.0073
86 -100 0 -842.90251587 1.0495 -1.5336 0.0059
87 -100 20 -842.90149654 1.3780 -1.5383 0.0042
88 -100 40 -842.90020189 1.6933 -1.5785 0.0023
89 -100 60 -842.89791292 1.9895 -1.6346 0.0004
90 -100 80 -842.89633319 2.2430 -1.6803 -0.0006
91 -100 100 -842.89802643 2.5678 -1.7302 -0.0025
92 -100 120 -842.89915748 2.7945 -1.7508 -0.0040
93 -100 140 -842.90000060 2.9411 -1.7258 -0.0046
94 -100 160 -842.90025383 2.9589 -1.6989 -0.0032
95 -100 180 -842.90077243 2.8524 -1.6755 -0.0007

96 -80 -180 -842.90035406 3.0876 -1.6558 -0.0023
97 -80 -160 -842.90164350 2.8485 -1.6629 -0.0002
98 -80 -140 -842.90172296 2.3676 -1.6881 0.0025
99 -80 -120 -842.90113132 1.8020 -1.7144 0.0051
100 -80 -100 -842.89993808 1.2231 -1.7163 0.0069
101 -80 -80 -842.89892551 0.7530 -1.6990 0.0079
102 -80 -60 -842.89930266 0.5715 -1.6532 0.0080
103 -80 -40 -842.90114918 0.6633 -1.5982 0.0074
104 -80 -20 -842.90113901 0.8869 -1.5460 0.0066
105 -80 0 -842.89909630 1.1707 -1.5083 0.0052
106 -80 20 -842.89624874 1.4420 -1.4851 0.0033
107 -80 40 -842.89392569 1.6349 -1.5108 0.0019
108 -80 60 -842.89158516 1.8943 -1.5623 0.0005
109 -80 80 -842.89107652 2.1978 -1.6152 -0.0008
110 -80 100 -842.89621406 2.4620 -1.6895 -0.0017
111 -80 120 -842.89861803 2.7984 -1.7222 -0.0038
112 -80 140 -842.89955486 3.0199 -1.7013 -0.0050
113 -80 160 -842.89972009 3.1202 -1.6761 -0.0043
114 -80 180 -842.90032784 3.0838 -1.6556 -0.0022

115 -60 -180 -842.90026614 3.1558 -1.6086 -0.0025
116 -60 -160 -842.90171064 2.9412 -1.6221 -0.0006
117 -60 -140 -842.90189777 2.4785 -1.6480 0.0021
118 -60 -120 -842.90128564 1.9260 -1.6716 0.0047
119 -60 -100 -842.89998855 1.3857 -1.6741 0.0065
120 -60 -80 -842.89898464 1.0272 -1.6564 0.0071
121 -60 -60 -842.89956540 0.9240 -1.6208 0.0069
122 -60 -40 -842.89992737 0.9632 -1.5782 0.0063
123 -60 -20 -842.89796146 1.1423 -1.5265 0.0053
124 -60 0 -842.89356419 1.5274 -1.4498 0.0023
