i dih1 dih2 Mu(D) Ene(Eh) VBA(eV) DBA(eV)
1 -180 -180 -648.15564991 1.1409 -1.6365 0.0098
2 -180 -160 -648.15621032 1.4724 -1.6515 0.0086
3 -180 -140 -648.15619409 1.9660 -1.6804 0.0063
4 -180 -120 -648.15579320 2.5610 -1.7102 0.0027
5 -180 -100 -648.15532973 2.9625 -1.7121 -0.0003
6 -180 -080 -648.15479011 3.2107 -1.6932 -0.0021
7 -180 -060 -648.15464021 3.2387 -1.6435 -0.0022
8 -180 -040 -648.15534886 3.1017 -1.5816 -0.0014
9 -180 -020 -648.15458516 2.9057 -1.5237 -0.0002
10 -180 0000 -648.15385118 2.8123 -1.5019 0.0004
11 -180 0020 -648.15458885 2.9043 -1.5240 -0.0002
12 -180 0040 -648.15532495 3.0892 -1.5776 -0.0013
13 -180 0060 -648.15464685 3.2209 -1.6398 -0.0020
14 -180 0080 -648.15476760 3.1977 -1.6923 -0.0020
15 -180 0100 -648.15530574 2.9406 -1.7115 -0.0001
16 -180 0120 -648.15579517 2.5614 -1.7117 0.0028
17 -180 0140 -648.15621464 2.0033 -1.6801 0.0061
18 -180 0160 -648.15621733 1.4710 -1.6517 0.0087
19 -180 0180 -648.15564764 1.1410 -1.6364 0.0098
20 -160 -180 -648.15641535 1.3124 -1.6468 0.0091
21 -160 -160 -648.15704455 1.2633 -1.6608 0.0091
22 -160 -140 -648.15701332 1.6198 -1.6874 0.0077
23 -160 -120 -648.15654461 2.1355 -1.7167 0.0053
24 -160 -100 -648.15595446 2.5465 -1.7177 0.0030
25 -160 -080 -648.15547761 2.8318 -1.7002 0.0013
26 -160 -060 -648.15549108 2.9103 -1.6491 0.0007
27 -160 -040 -648.15636337 2.8295 -1.5886 0.0006
28 -160 -020 -648.15609142 2.7405 -1.5263 0.0007
29 -160 0000 -648.15570053 2.7753 -1.5064 -0.0000
30 -160 0020 -648.15624945 2.9679 -1.5349 -0.0019
31 -160 0040 -648.15653574 3.2138 -1.5882 -0.0040
32 -160 0060 -648.15533758 3.3800 -1.6501 -0.0054
33 -160 0080 -648.15515894 3.3719 -1.7054 -0.0055
34 -160 0100 -648.15572044 3.1988 -1.7249 -0.0039
35 -160 0120 -648.15619660 2.9197 -1.7249 -0.0011
36 -160 0140 -648.15668457 2.4130 -1.6920 0.0031
37 -160 0160 -648.15671927 1.8671 -1.6625 0.0067
38 -160 0180 -648.15642565 1.3176 -1.6467 0.0091
39 -140 -180 -648.15675289 1.5220 -1.6732 0.0081
40 -140 -160 -648.15730967 1.2004 -1.6856 0.0091
41 -140 -140 -648.15727684 1.2860 -1.7102 0.0086
42 -140 -120 -648.15683998 1.6514 -1.7371 0.0071
43 -140 -100 -648.15627869 2.0154 -1.7377 0.0056
44 -140 -080 -648.15582757 2.3016 -1.7191 0.0043
45 -140 -060 -648.15597705 2.4080 -1.6708 0.0036
46 -140 -040 -648.15725556 2.3607 -1.6136 0.0032
47 -140 -020 -648.15765445 2.3676 -1.5531 0.0025
48 -140 0000 -648.15767711 2.5024 -1.5336 0.0010
49 -140 0020 -648.15817551 2.7957 -1.5557 -0.0018
50 -140 0040 -648.15783738 3.0795 -1.6077 -0.0044
51 -140 0060 -648.15583769 3.2746 -1.6696 -0.0061
52 -140 0080 -648.15508619 3.2876 -1.7276 -0.0062
53 -140 0100 -648.15555722 3.1817 -1.7503 -0.0052
