
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:5"

# Contour 0, label:      3.5
 40.9096 -118.182  3 
 38.1818 -121.335  3 
 37.7649 -121.818  3 
 34.8354 -125.455  3 
 34.5455 -125.843  3 
 32.1765 -129.091  3 
 30.9091 -130.952  3 
 29.7373 -132.727  3 
 27.4287 -136.364  3 
 27.2727 -136.608  3 
 25.1411 -140  3 
 23.6364 -142.255  3 
 22.6613 -143.636  3 
 20.0058 -147.273  3 
 20 -147.281  3 
 17.3577 -150.909  3 
 16.3636 -152.55  3 
 15.0562 -154.545  3 
 13.4111 -158.182  3 
 12.7273 -161.579  3 
 12.6685 -161.818  3 
 12.7273 -162.582  3 
 12.9409 -165.455  3 
 14.3123 -169.091  3 
 16.3636 -172.021  3 
 16.846 -172.727  3 
 20 -176.285  3 
 20.0631 -176.364  3 
 22.9491 -180  3 


# Contour 2, label:      2.5
 24.4325 -23.6364  2.5 
 23.6364 -23.9756  2.5 
 20.6794 -23.6364  2.5 
 20 -23.5448  2.5 
 16.3636 -20.4396  2.5 
 16.0015 -20  2.5 
 14.8308 -16.3636  2.5 
 16.3636 -13.5088  2.5 
 20 -14.0458  2.5 
 23.6364 -16.2449  2.5 
 23.7617 -16.3636  2.5 
 25.735 -20  2.5 
 24.4325 -23.6364  2.5 

-100  95.5604  2.5 
-103.636  94.264  2.5 
-107.273  93.0154  2.5 
-108.29  92.7273  2.5 
-110.909  91.9746  2.5 
-114.545  91.385  2.5 
-118.182  91.5759  2.5 
-121.818  92.691  2.5 
-121.889  92.7273  2.5 
-125.455  94.4878  2.5 
-128.869  96.3636  2.5 
-129.091  96.4969  2.5 
-132.727  98.6864  2.5 
-135.126  100  2.5 
-136.364  101.033  2.5 
-139.01  103.636  2.5 
-140  106.22  2.5 
-140.327  107.273  2.5 
-140.378  110.909  2.5 
-140  113.036  2.5 
-139.753  114.545  2.5 
-138.877  118.182  2.5 
-138.186  121.818  2.5 
-137.652  125.455  2.5 
-137.041  129.091  2.5 
-136.364  132.439  2.5 
-136.308  132.727  2.5 
-135.48  136.364  2.5 
-134.625  140  2.5 
-133.774  143.636  2.5 
-132.882  147.273  2.5 
-132.727  147.837  2.5 
-131.889  150.909  2.5 
-130.797  154.545  2.5 
-129.595  158.182  2.5 
-129.091  159.546  2.5 
-128.241  161.818  2.5 
-126.766  165.455  2.5 
-125.455  168.625  2.5 
-125.251  169.091  2.5 
-123.706  172.727  2.5 
-122.289  176.364  2.5 
-121.818  177.693  2.5 
-120.931  180  2.5 

 141.41  180  2.5 
 140  178.593  2.5 
 137.696  176.364  2.5 
 136.364  175.162  2.5 
 133.605  172.727  2.5 
 132.727  171.984  2.5 
 129.186  169.091  2.5 
 129.091  169.015  2.5 
 125.455  166.254  2.5 
 124.32  165.455  2.5 
 121.818  163.676  2.5 
 119.018  161.818  2.5 
 118.182  161.244  2.5 
 114.545  158.896  2.5 
 113.352  158.182  2.5 
 110.909  156.683  2.5 
 107.273  154.622  2.5 
 107.128  154.545  2.5 
 103.636  152.682  2.5 
 100.123  150.909  2.5 
 100  150.848  2.5 
 96.3636  149.161  2.5 
 92.7273  147.624  2.5 
 91.8009  147.273  2.5 
 89.0909  146.278  2.5 
 85.4545  145.112  2.5 
 81.8182  144.137  2.5 
 79.3577  143.636  2.5 
 78.1818  143.404  2.5 
 74.5455  142.926  2.5 
 70.9091  142.652  2.5 
 67.2727  142.559  2.5 
 63.6364  142.645  2.5 
 60  142.929  2.5 
 56.3636  143.435  2.5 
 55.2559  143.636  2.5 
 52.7273  144.121  2.5 
 49.0909  144.93  2.5 
 45.4545  145.832  2.5 
 41.8182  146.824  2.5 
 40.2825  147.273  2.5 
 38.1818  147.92  2.5 
 34.5455  149.09  2.5 
 30.9091  150.284  2.5 
 28.9434  150.909  2.5 
 27.2727  151.477  2.5 
 23.6364  152.629  2.5 
 20  153.662  2.5 
 16.3636  154.496  2.5 
 16.0312  154.545  2.5 
 12.7273  155.072  2.5 
 9.09091  155.304  2.5 
 5.45455  155.101  2.5 
 2.78664  154.545  2.5 
 1.81818  154.333  2.5 
-1.81818  152.863  2.5 
-4.9702  150.909  2.5 
-5.45455  150.603  2.5 
-9.09091  147.612  2.5 
-9.43026  147.273  2.5 
-12.7273  143.993  2.5 
-13.0396  143.636  2.5 
-16.3515  140  2.5 
-16.3636  139.988  2.5 
-19.7128  136.364  2.5 
-20  136.071  2.5 
-23.2003  132.727  2.5 
-23.6364  132.282  2.5 
-26.6785  129.091  2.5 
-27.2727  128.474  2.5 
-30.1411  125.455  2.5 
-30.9091  124.657  2.5 
-33.6711  121.818  2.5 
-34.5455  120.952  2.5 
-37.4555  118.182  2.5 
-38.1818  117.531  2.5 
-41.7724  114.545  2.5 
-41.8182  114.509  2.5 
-45.4545  111.817  2.5 
-46.7615  110.909  2.5 
-49.0909  109.334  2.5 
-52.3256  107.273  2.5 
-52.7273  107.023  2.5 
-56.3636  105.003  2.5 
-59.39  103.636  2.5 
-60  103.372  2.5 
-63.6364  102.529  2.5 
-67.2727  102.217  2.5 
-70.9091  102.193  2.5 
-74.5455  102.294  2.5 
-78.1818  102.318  2.5 
-81.8182  101.926  2.5 
-85.4545  101.008  2.5 
-88.4674  100  2.5 
-89.0909  99.7774  2.5 
-92.7273  98.3835  2.5 
-96.3636  96.945  2.5 
-97.8431  96.3636  2.5 
-100  95.5604  2.5 

 49.2953 -85.4545  2.5 
 49.0909 -85.5953  2.5 
 45.4545 -88.4204  2.5 
 44.6714 -89.0909  2.5 
 41.8182 -91.1824  2.5 
 39.9262 -92.7273  2.5 
 38.1818 -94.0575  2.5 
 35.5138 -96.3636  2.5 
 34.5455 -97.2132  2.5 
 31.5696 -100  2.5 
 30.9091 -100.634  2.5 
 27.7686 -103.636  2.5 
 27.2727 -104.114  2.5 
 23.8688 -107.273  2.5 
 23.6364 -107.492  2.5 
 20 -110.794  2.5 
 19.8698 -110.909  2.5 
 16.3636 -114.229  2.5 
 16.0317 -114.545  2.5 
 12.7273 -118.036  2.5 
 12.5878 -118.182  2.5 
 9.41521 -121.818  2.5 
 9.09091 -122.215  2.5 
 6.22694 -125.455  2.5 
 5.45455 -126.333  2.5 
 2.72941 -129.091  2.5 
 1.81818 -129.988  2.5 
-1.46256 -132.727  2.5 
-1.81818 -133.01  2.5 
-5.45455 -135.367  2.5 
-7.42473 -136.364  2.5 
-9.09091 -137.158  2.5 
-12.7273 -138.541  2.5 
-16.3636 -139.606  2.5 
-18.0603 -140  2.5 
-20 -140.447  2.5 
-23.6364 -141.123  2.5 
-27.2727 -141.618  2.5 
-30.9091 -141.938  2.5 
-34.5455 -142.093  2.5 
-38.1818 -142.086  2.5 
-41.8182 -141.914  2.5 
-45.4545 -141.617  2.5 
-49.0909 -141.284  2.5 
-52.7273 -140.991  2.5 
-56.3636 -140.813  2.5 
-60 -140.823  2.5 
-63.6364 -141.092  2.5 
-67.2727 -141.599  2.5 
-70.9091 -142.324  2.5 
-74.5455 -143.241  2.5 
-75.874 -143.636  2.5 
-78.1818 -144.343  2.5 
-81.8182 -145.596  2.5 
-85.4545 -146.994  2.5 
-86.1071 -147.273  2.5 
-89.0909 -148.616  2.5 
-92.7273 -150.418  2.5 
-93.6436 -150.909  2.5 
-96.3636 -152.47  2.5 
-99.744 -154.545  2.5 
-100 -154.717  2.5 
-103.636 -157.303  2.5 
-104.806 -158.182  2.5 
-107.273 -160.248  2.5 
-109.062 -161.818  2.5 
-110.909 -163.662  2.5 
-112.603 -165.455  2.5 
-114.545 -167.839  2.5 
-115.486 -169.091  2.5 
-117.809 -172.727  2.5 
-118.182 -173.432  2.5 
-119.576 -176.364  2.5 
-120.848 -180  2.5 

 141.904 -180  2.5 
 143.636 -177.924  2.5 
 144.908 -176.364  2.5 
 147.273 -173.489  2.5 
 147.892 -172.727  2.5 
 150.837 -169.091  2.5 
 150.909 -168.998  2.5 
 153.671 -165.455  2.5 
 154.545 -164.239  2.5 
 156.26 -161.818  2.5 
 158.182 -158.573  2.5 
 158.392 -158.182  2.5 
 159.884 -154.545  2.5 
 161.124 -150.909  2.5 
 161.818 -148.642  2.5 
 162.204 -147.273  2.5 
 163.177 -143.636  2.5 
 164.135 -140  2.5 
 165.108 -136.364  2.5 
 165.455 -135.142  2.5 
 166.096 -132.727  2.5 
 167.117 -129.091  2.5 
 168.146 -125.455  2.5 
 169.091 -121.877  2.5 
 169.106 -121.818  2.5 
 169.899 -118.182  2.5 
 170.567 -114.545  2.5 
 171.124 -110.909  2.5 
 171.583 -107.273  2.5 
 171.951 -103.636  2.5 
 172.241 -100  2.5 
 172.462 -96.3636  2.5 
 172.602 -92.7273  2.5 
 172.63 -89.0909  2.5 
 172.513 -85.4545  2.5 
 172.219 -81.8182  2.5 
 171.726 -78.1818  2.5 
 171.031 -74.5455  2.5 
 170.165 -70.9091  2.5 
 169.174 -67.2727  2.5 
 169.091 -66.9957  2.5 
 167.977 -63.6364  2.5 
 166.658 -60  2.5 
 165.455 -57.0927  2.5 
 165.09 -56.3636  2.5 
 163.028 -52.7273  2.5 
 161.818 -50.7373  2.5 
 160.468 -49.0909  2.5 
 158.182 -46.4206  2.5 
 156.883 -45.4545  2.5 
 154.545 -43.8906  2.5 
 150.909 -42.5994  2.5 
 147.273 -42.0077  2.5 
 144.455 -41.8182  2.5 
 143.636 -41.7666  2.5 
 140 -41.5581  2.5 
 136.364 -41.1227  2.5 
 132.727 -40.5991  2.5 
 129.091 -40.1437  2.5 
 125.455 -39.8779  2.5 
 121.818 -39.9099  2.5 
 118.182 -40.338  2.5 
 114.545 -41.1912  2.5 
 112.705 -41.8182  2.5 
 110.909 -42.4559  2.5 
 107.273 -44.1267  2.5 
 104.89 -45.4545  2.5 
 103.636 -46.1975  2.5 
 100 -48.6427  2.5 
 99.3637 -49.0909  2.5 
 96.3636 -51.2127  2.5 
 94.0299 -52.7273  2.5 
 92.7273 -53.5776  2.5 
 89.0909 -55.5678  2.5 
 87.122 -56.3636  2.5 
 85.4545 -57.0954  2.5 
 81.8182 -58.1051  2.5 
 78.1818 -58.4179  2.5 
 74.5455 -57.9244  2.5 
