
# Surface 0 of 1 surfaces

# Curve title: "'test.dat'"

# Contour 0, label:      565
 47.7768 -7.56303  400 
 49.7146 -10.5882  400 
 49.916 -10.9191  400 
 51.484 -13.6134  400 
 52.9412 -16.2287  400 
 53.1596 -16.6387  400 
 54.7508 -19.6639  400 
 55.9664 -21.9413  400 
 56.357 -22.6891  400 
 57.9652 -25.7143  400 
 58.9916 -27.6548  400 
 59.5553 -28.7395  400 
 61.0715 -31.7647  400 
 62.0168 -33.7173  400 
 62.5212 -34.7899  400 
 63.8863 -37.8151  400 
 65.042 -40.4196  400 
 65.222 -40.8403  400 
 66.4663 -43.8655  400 
 67.6935 -46.8908  400 
 68.0672 -47.8614  400 
 68.8258 -49.916  400 
 69.8644 -52.9412  400 
 70.8131 -55.9664  400 
 71.0924 -57.0421  400 
 71.5965 -58.9916  400 
 72.2219 -62.0168  400 
 72.6762 -65.042  400 
 72.8132 -68.0672  400 
 72.1171 -71.0924  400 

 72.1171 -71.0924  400 
 71.0924 -72.2716  400 
 68.0672 -73.3575  400 
 65.042 -73.4045  400 
 62.0168 -73.0828  400 
 58.9916 -72.5729  400 
 55.9664 -71.9215  400 
 52.9412 -71.1399  400 
 52.7872 -71.0924  400 
 49.916 -70.173  400 
 46.8908 -69.119  400 
 44.0521 -68.0672  400 
 43.8655 -67.9949  400 
 40.8403 -66.7436  400 
 37.8151 -65.4621  400 
 36.8664 -65.042  400 
 34.7899 -64.0922  400 
 31.7647 -62.6603  400 
 30.4648 -62.0168  400 
 28.7395 -61.1411  400 
 25.7143 -59.5524  400 
 24.6731 -58.9916  400 
 22.6891 -57.9126  400 
 19.6639 -56.2973  400 
 19.0304 -55.9664  400 
 16.6387 -54.672  400 
 13.6134 -52.9973  400 
 13.5161 -52.9412  400 
 10.5882 -51.1696  400 
 8.65166 -49.916  400 
 7.56303 -49.1776  400 
 4.53782 -46.9762  400 
 4.4271 -46.8908  400 
 1.51261 -44.5685  400 
 0.661132 -43.8655  400 
-1.51261 -42.0518  400 
-2.95956 -40.8403  400 
-4.53782 -39.5268  400 
-6.54868 -37.8151  400 
-7.56303 -36.9334  400 
-9.96599 -34.7899  400 
-10.5882 -34.2118  400 
-13.1824 -31.7647  400 
-13.6134 -31.3389  400 
-16.2789 -28.7395  400 
-16.6387 -28.3771  400 
