Psi Phi  #  Energy(Eh) DipoleX DipoleY DipoleZ DipoleT
1 -845.64559123376284 0.585771 0.349641 0.472865 0.830047
2 -845.64620835503865 0.337257 0.468770 1.065978 1.212351
3 -845.64569096847163 -0.157807 0.553575 1.350179 1.467764
4 -845.64466360900065 -0.728891 0.589111 1.510144 1.777320
5 -845.64320787036399 -1.175198 0.473908 1.546281 1.999166
6 -845.64253426592722 -1.502833 0.156870 1.438748 2.086411
7 -845.64309102440052 -1.596823 -0.232721 1.184867 2.001977
8 -845.64388471667849 -1.536733 -0.600040 0.922694 1.890228
9 -845.64371129583265 -1.388099 -0.903443 0.592561 1.759022
10 -845.64338692072806 -1.302189 -1.040084 0.317277 1.696507
11 -845.64389786495167 -1.396892 -0.900302 0.071069 1.663401
12 -845.64421108234865 -1.504850 -0.618367 -0.269753 1.649157
13 -845.64358809993860 -1.539888 -0.232372 -0.602048 1.669644
14 -845.64319570328530 -1.414734 0.170338 -0.811640 1.639893
15 -845.64360255732504 -1.107093 0.463450 -0.874703 1.485108
16 -845.64428373538431 -0.683985 0.533039 -0.779525 1.166030
17 -845.64502716905486 -0.086715 0.484193 -0.532232 0.724730
18 -845.64533979399630 0.403830 0.356092 -0.130592 0.554016
19 -845.64561106498854 0.594539 0.338975 0.522024 0.860750
20 -845.64580350468714 0.847701 0.419187 -0.162100 0.959475
21 -845.64648705773220 0.599192 0.542904 0.327078 0.872213
22 -845.64595109870538 0.081257 0.614850 0.600883 0.863541
23 -845.64494156322417 -0.507552 0.644898 0.745956 1.109032
24 -845.64344372418009 -0.992152 0.509621 0.798832 1.371937
25 -845.64276806555267 -1.328415 0.211148 0.724788 1.527935
26 -845.64336492398547 -1.413135 -0.153825 0.484261 1.501706
27 -845.64421847342282 -1.337673 -0.509104 0.223287 1.448590
28 -845.64437692070237 -1.181740 -0.816265 -0.122990 1.441501
29 -845.64437232294677 -1.094021 -0.962502 -0.501456 1.541023
30 -845.64487236576133 -1.163208 -0.861696 -0.821697 1.664560
31 -845.64490368738052 -1.266405 -0.601195 -1.096543 1.779782
32 -845.64380786024958 -1.305471 -0.201384 -1.344310 1.884670
33 -845.64315690092644 -1.172240 0.233480 -1.528886 1.940657
34 -845.64347319645617 -0.885741 0.540251 -1.606545 1.912432
35 -845.64411902356073 -0.476518 0.598960 -1.554016 1.732278
36 -845.64497146019198 0.131780 0.546482 -1.358765 1.470460
37 -845.64545039947575 0.634493 0.420013 -0.916290 1.191041
38 -845.64590442199369 0.845886 0.421938 -0.217582 0.969998
39 -845.64564380532784 1.372916 0.525206 -0.465257 1.541818
40 -845.64628529966785 1.131096 0.643431 0.026395 1.301568
41 -845.64572782458799 0.601419 0.708709 0.269501 0.967783
42 -845.64467525062992 0.002113 0.728556 0.402558 0.832377
43 -845.64315585401687 -0.509980 0.587831 0.427829 0.888067
44 -845.64247366371046 -0.848817 0.287051 0.361619 0.966259
45 -845.64321595965362 -0.911458 -0.072978 0.182130 0.932337
46 -845.64442654453501 -0.821409 -0.432763 -0.043224 0.929443
47 -845.64515464945157 -0.681328 -0.733831 -0.381680 1.071632
48 -845.64552036708483 -0.624871 -0.878661 -0.760569 1.319459
49 -845.64590431250122 -0.710701 -0.782041 -1.132586 1.549011
50 -845.64537773580560 -0.801847 -0.537817 -1.432773 1.727728
51 -845.64359239845203 -0.815264 -0.140237 -1.680338 1.872927
52 -845.64318610  -0.408059 -0.125482 -1.462249 1.523296
53 -845.64277980958173 -0.383523 0.661756 -1.955804 2.100043
54 -845.64350776085962 0.021239 0.720067 -1.927057 2.057303
55 -845.64452928565197 0.645424 0.664037 -1.715939 1.949863
56 -845.64518352272353 1.150225 0.542683 -1.269777 1.797180
57 -845.64570864892880 1.372251 0.527995 -0.505680 1.554852
58 -845.64489907541497 2.023950 0.580537 -0.618059 2.194400
59 -845.64558860290958 1.789248 0.686295 -0.073036 1.917744
60 -845.64498091042105 1.261057 0.741969 0.118007 1.467893
61 -845.64385851777388 0.654129 0.738601 0.250236 1.017857
62 -845.64230321390801 0.120665 0.593080 0.228060 0.646773
63 -845.64161668435531 -0.233209 0.295542 0.171523 0.413705
64 -845.64248612934352 -0.311343 -0.072721 0.034558 0.321585
65 -845.64409572712111 -0.234951 -0.430587 -0.151982 0.513523
66 -845.64517733757634 -0.130142 -0.724440 -0.464845 0.870535
67 -845.64569570028721 -0.113088 -0.880526 -0.825165 1.212028
68 -845.64587662159374 -0.178822 -0.784282 -1.211181 1.453972
69 -845.64483791588373 -0.228309 -0.540016 -1.548973 1.656218
70 -845.64250977835945 -0.188989 -0.150517 -1.822945 1.838886
71 -845.64095569384790 -0.028318 0.330546 -2.000333 2.027658
72 -845.64141471413359 0.261745 0.681139 -2.123143 2.245038
73 -845.64235079202831 0.659975 0.761503 -2.134263 2.360197
74 -845.64352861413795 1.286123 0.712120 -1.888891 2.393561
75 -845.64438367029243 1.787193 0.597798 -1.427616 2.364214
76 -845.64500254290169 2.018667 0.580038 -0.646733 2.197663
77 -845.64386240235513 2.505970 0.507023 -0.599986 2.626203
78 -845.64454359364549 2.293439 0.605997 0.002880 2.372152
79 -845.64394699658601 1.778792 0.653603 0.215852 1.907326
80 -845.64279957989515 1.186174 0.643670 0.345519 1.393092
81 -845.64120964618132 0.658426 0.514057 0.283034 0.881979
82 -845.64043123770830 0.298637 0.214851 0.229351 0.433528
83 -845.64133472304752 0.190713 -0.152537 0.097106 0.262808
84 -845.64307038047832 0.233301 -0.508393 -0.057511 0.562317
