
# Surface 0 of 1 surfaces

# Curve title: "filename using 1:2:8"

# Contour 0, label:     3.15
-152.38  64.2211  3.15 
-152.864  62.5368  3.15 
-152.906  62.4121  3.15 
-153.727  60.603  3.15 
-154.673  58.9267  3.15 
-154.766  58.794  3.15 
-156.298  56.9849  3.15 
-156.482  56.7953  3.15 
-158.291  55.4672  3.15 
-158.986  55.1759  3.15 
-160.101  54.7461  3.15 
-161.91  54.5714  3.15 
-163.719  54.9199  3.15 
-164.261  55.1759  3.15 
-165.528  55.8495  3.15 
-166.89  56.9849  3.15 
-167.337  57.4168  3.15 
-168.416  58.794  3.15 
-169.146  59.9022  3.15 
-169.526  60.603  3.15 
-170.329  62.4121  3.15 
-170.95  64.2211  3.15 
-170.955  64.2401  3.15 
-171.318  66.0302  3.15 
-171.496  67.8392  3.15 
-171.461  69.6482  3.15 
-171.188  71.4573  3.15 
-170.955  72.2466  3.15 
-170.601  73.2663  3.15 
-169.647  75.0754  3.15 
-169.146  75.7743  3.15 
-168.193  76.8844  3.15 
-167.337  77.6784  3.15 
-165.973  78.6935  3.15 
-165.528  78.9694  3.15 
-163.719  79.783  3.15 
-161.91  80.2569  3.15 
-160.101  80.3097  3.15 
-158.291  79.8246  3.15 
-156.482  78.8417  3.15 
-156.294  78.6935  3.15 
-154.673  77.0927  3.15 
-154.509  76.8844  3.15 
-153.395  75.0754  3.15 
-152.864  73.9062  3.15 
-152.622  73.2663  3.15 
-152.164  71.4573  3.15 
-151.92  69.6482  3.15 
-151.882  67.8392  3.15 
-152.038  66.0302  3.15 
-152.38  64.2211  3.15 

 173.03 -75.0754  3.15 
 172.764 -75.7215  3.15 
 172.241 -76.8844  3.15 
 171.197 -78.6935  3.15 
 170.955 -79.0345  3.15 
 169.808 -80.5025  3.15 
 169.146 -81.2229  3.15 
 168.015 -82.3116  3.15 
 167.337 -82.8802  3.15 
 165.584 -84.1206  3.15 
 165.528 -84.1563  3.15 
 163.719 -85.0345  3.15 
 161.91 -85.6228  3.15 
 160.101 -85.8833  3.15 
 158.291 -85.7904  3.15 
 156.482 -85.3237  3.15 
 154.673 -84.4711  3.15 
 154.148 -84.1206  3.15 
 152.864 -83.0962  3.15 
 152.087 -82.3116  3.15 
 151.055 -81.0175  3.15 
 150.705 -80.5025  3.15 
 149.751 -78.6935  3.15 
 149.246 -77.3731  3.15 
 149.079 -76.8844  3.15 
 148.674 -75.0754  3.15 
 148.469 -73.2663  3.15 
 148.447 -71.4573  3.15 
 148.591 -69.6482  3.15 
