r E vba dba
3.5 -724.37580101 -2.5053 0.0010
4 -724.41913005 -2.2477 -0.0040
4.5 -724.42557080 -2.0798 -0.0119
5 -724.42419928 -1.9837 -0.0213
6 -724.42076011 -1.8856 -0.0397
8 -724.41898174 -1.8037 -0.0584
10 -724.41877124 -1.7673 -0.0577
12 -724.41874355 -1.7478 -0.0512
15 -724.41874790 -1.7319 -0.0411
20 -724.41876466 -1.7196 -0.0293
30 -724.41876972 -1.7110 -0.0176
40 -724.41877228 -1.7080 -0.0123
