r E vba dba
3.5 -724.41167260 -1.4282 -0.0772
4 -724.42287831 -1.4384 -0.0702
4.5 -724.42371820 -1.4643 -0.0607
5 -724.42247862 -1.4943 -0.0516
6 -724.42046156 -1.5471 -0.0374
8 -724.41933331 -1.6114 -0.0218
10 -724.41903858 -1.6440 -0.0139
12 -724.41893669 -1.6622 -0.0090
15 -724.41887419 -1.6773 -0.0043
20 -724.41881709 -1.6891 0.0003
30 -724.41878695 -1.6975 0.0014
40 -724.41877963 -1.7005 -0.0011
